Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
Just nu:Forskartrio får dela på årets ekonomipris,/ekonomi/ekonomipriset-for-forskning-om-kreativ-forstorelse/,Business,Positive,[2025-10-13] A team of researchers has been awarded this year's economics prize. The announcement indicates recognition for their contributions to the field.,1.41,True
Stegra tar in 10 nya miljarder till stålfabriken,/ekonomi/stegra-tar-in-10-nya-miljarder-till-stalfabriken/,Business,Positive,"[2025-10-13] Stålbolaget Stegra is securing additional capital for its factory construction in Boden, Sweden. This funding will enable investments in port and railway infrastructure.",1.16,True
Snart dags att byta – här är de bästa vinterdäcken,https://www.dn.se/ekonomi//motor/snart-dags-att-byta-har-ar-de-basta-vinterdacken/,Technology,Neutral,[2025-10-13] New regulations in Sweden may lead to upcoming studded tire models having reduced ice grip. The aim of the changes is to lower road wear.,1.1,True
XC60 – en viktig Volvo med få nyheter,https://www.dn.se/ekonomi//motor/xc60-en-viktig-volvo-med-fa-nyheter/,Technology,Neutral,"[2025-10-13] A new grill and touchscreen are being introduced to a significant car model in Sweden. While seemingly minor, these changes are considered important for a key vehicle.",1.17,True
”Dör man med en miljon har man arbetat för mycket”,/ekonomi/jag-spenderar-hellre-pengarna-har-och-nu-med-barnen/,Culture,Neutral,"[2025-10-13] Johan Strand expresses a desire for financial freedom, stating he would prefer to be remembered fondly rather than having money in the bank. The article discusses his perspective on wealth and legacy.",1.24,True
Töm kontot innan du dör – och bli lycklig?,/ekonomi/sparpsykologen-om-die-with-zero-kansligt-folk-hatar-att-tanka-pa-doden/,Culture,Negative,"[2025-10-13] The headline, translated, warns that many people risk dying with their wealth unspent. It suggests a cautionary tale about not enjoying life's possessions.",1.15,True
Trumps nya Kinatullar: 100 procent till,/ekonomi/trumps-nya-tullhot-mot-kina-100-procent-till/,Politics,Neutral,[2025-10-13] A law is set to take effect on November 1st. The article simply reports the date of implementation without further details.,1.06,True
Skogens skräp är på väg att bli guld,/ekonomi/skogens-skrap-pa-vag-att-bli-guld/,Business,Neutral,"[2025-10-13] The article discusses lignin, a raw material, attracting both large companies and startups. It suggests growing interest and potential opportunities within the industry.",1.09,True
Bostadspriser stiger – mer än normalt,/ekonomi/bostadspriser-stiger-mer-an-normalt/,Business,Negative,"[2025-10-13] Housing prices are rising, exceeding typical increases. This suggests a potential economic challenge related to affordability and market stability.",1.02,True
Nya priskurvan på el – billigare på dagen än på natten,/ekonomi/nya-priskurvan-pa-el-billigare-pa-dagen-an-pa-natten/,Business,Neutral,"[2025-10-13] A new electricity pricing curve has been introduced, making electricity cheaper during the day compared to nighttime hours. This change aims to incentivize usage patterns and potentially reduce grid strain.",1.19,True
