Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
Volkswagen posts marginal rise in third‑quarter deliveries,https://finance.yahoo.com/news/volkswagen-posts-marginal-rise-third-110638554.html,Business,Neutral,"[2025-10-13] Volkswagen reported a slight increase in vehicle deliveries for the third quarter of 2025. The report indicates a marginal rise, suggesting a moderate performance.",1.52,True
TSMC Q3 profit expected to soar 28% on AI spending boom,https://finance.yahoo.com/news/tsmc-q3-profit-expected-soar-090445995.html,Business,Positive,"[2025-10-13] TSMC's Q3 profit is projected to increase by 28%, driven by a surge in spending related to artificial intelligence. This indicates strong performance and growth within the semiconductor industry.",1.27,True
"Sentiment steadies after Trump cools rhetoric on China, gold at record highs",https://finance.yahoo.com/news/sentiment-steadies-trump-cools-rhetoric-105242120.html,Business,Neutral,"[2025-10-13] Market sentiment stabilized following a decrease in hostile language towards China from Donald Trump. Simultaneously, gold prices reached a new record high.",1.07,True
"Stocks dip as government shutdown continues, rare earths rally: What to watch this week",https://finance.yahoo.com/news/stocks-dip-as-government-shutdown-continues-rare-earths-rally-what-to-watch-this-week-114600627.html,Business,Negative,[2025-10-13] Stock markets are experiencing a decline due to the ongoing government shutdown. A rally in rare earth elements is also a factor to watch this week.,1.11,True
Morning Bid: Markets claw back amid looping narratives,https://finance.yahoo.com/news/morning-bid-markets-claw-back-104259900.html,Business,Neutral,[2025-10-13] Market performance is currently characterized by a slow recovery amidst repetitive and cyclical trends. The article discusses the current market state and investor sentiment.,1.08,True
Amcor names Stephen R Scherger as chief financial officer,https://finance.yahoo.com/news/amcor-names-stephen-r-scherger-110606038.html,Business,Neutral,[2025-10-13] Amcor has appointed Stephen R. Scherger as their new chief financial officer. This leadership change is effective immediately.,1.03,True
Health Care Roundup: Market Talk,https://www.wsj.com/articles/health-care-roundup-market-talk-e76cff68?siteid=yhoof2&yptr=yahoo,Health,Neutral,[2025-10-13] This article is a market talk roundup regarding health care. It provides a summary of current discussions and trends in the health care market.,1.08,True
Jim Cramer Says Worries About Oracle (ORCL) Losing Money Are Like Buying A Boeing Plane,https://finance.yahoo.com/news/jim-cramer-says-worries-oracle-061828275.html,Business,Positive,"[2025-10-13] Jim Cramer believes concerns about Oracle potentially losing money are unfounded, comparing it to worrying about the viability of Boeing aircraft. He suggests investors shouldn't be overly concerned about Oracle's financial outlook.",1.29,True
Wall Street's biggest banks are riding high as earnings season begins,https://finance.yahoo.com/news/wall-streets-biggest-banks-are-riding-high-as-earnings-season-begins-130017995.html,Business,Positive,[2025-10-13] Major Wall Street banks are reporting strong earnings as the current earnings season commences. This indicates a period of financial success for these institutions.,1.08,True
"Microsoft, SoftBank in talks for $2 billion investment in UK's Wayve, FT reports",https://finance.yahoo.com/news/microsoft-softbank-talks-2-billion-102104749.html,Business,Positive,[2025-10-13] Microsoft and SoftBank are reportedly in discussions for a $2 billion investment in UK-based autonomous driving startup Wayve. This potential deal highlights growing interest in the UK's tech sector and Wayve's self-driving technology.,1.41,True
Iran’s NIOC begins development work at Pazan field under 40‑month programme,https://finance.yahoo.com/news/iran-nioc-begins-development-pazan-110220266.html,Business,Neutral,[2025-10-13] Iran's NIOC has commenced development work on the Pazan oil field as part of a 40-month program. This project signals ongoing efforts to expand Iran's oil production capacity.,1.3,True
