Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
‘She may have a spending problem’: Would it be wrong to secretly give our son money — without telling his wife?,https://www.marketwatch.com/story/she-may-have-a-spending-problem-would-it-be-wrong-to-secretly-give-our-son-money-without-telling-his-wife-421d2097?mod=mw_rss_topstories,Culture,Negative,[2025-10-13] The article reports a family experiencing marital difficulties. A couple in their 30s with a young child are facing problems in their marriage.,1.58,True
"Bank of America now sees $65 silver, as price spike reduces London market to a ‘state of seizure.’",https://www.marketwatch.com/story/bank-of-america-now-sees-65-silver-as-price-spike-reduces-london-market-to-a-state-of-seizure-4338f28d?mod=mw_rss_topstories,Business,Negative,"[2025-10-13] A silver inventory shortage is posing a potential disruption to the London Bullion Market Association (LBMA), a critical global trading hub. This scarcity could impact silver markets worldwide.",1.28,True
"A high bar for earnings means the market reaction may be ‘varied and violent,’ says Evercore. Here’s what to do.",https://www.marketwatch.com/story/a-high-bar-for-earnings-means-the-market-reaction-may-be-varied-and-violent-says-evercore-heres-what-to-do-ffd1d6a0?mod=mw_rss_topstories,Business,Negative,[2025-10-13] A strategist believes stock valuations indicate an expectation of flawless performance. This suggests a potential risk of disappointment if expectations aren't met.,1.12,True
‘I watch antenna TV’: I’m 66. Will I lose my disability benefits if Social Security goes belly up?,https://www.marketwatch.com/story/i-watch-antenna-tv-im-66-will-i-lose-my-disability-benefits-if-social-security-goes-belly-up-ffe6afd4?mod=mw_rss_topstories,Business,Neutral,"[2025-10-13] The article references a statement regarding the solvency of the Social Security Disability Insurance Trust Fund, indicating it is projected to last until 2099. It's a brief observation about the fund's longevity.",1.39,True
"‘I’m stumped’: I put $3,000 on my credit card during a vacation and my credit score plunged. Why is it so volatile?",https://www.marketwatch.com/story/im-stumped-i-put-3-000-on-my-credit-card-for-a-vacation-and-my-credit-score-plummeted-why-is-it-so-volatile-2fb56b1b?mod=mw_rss_topstories,Business,Negative,[2025-10-13] The article expresses frustration regarding credit history not being adequately considered. It questions the value of a long-standing positive credit record.,1.09,True
Real estate tycoon Barbara Corcoran sells her palatial $13.5 million New York penthouse in one day,https://www.marketwatch.com/story/real-estate-tycoon-barbara-corcoran-sells-her-palatial-13-5-million-new-york-penthouse-in-one-day-1c540211?mod=mw_rss_topstories,Business,Positive,"[2025-10-13] Barbara Corcoran, a star of ""Shark Tank,"" sold her New York City apartment for $1.5 million above the initial asking price. This represents a significant and profitable sale for the businesswoman.",1.32,True
‘I have to go where the ice exists’: Olympic figure skater Oksana Baiul lists her $1.2 million Louisiana home,https://www.marketwatch.com/story/i-have-to-go-where-the-ice-exists-olympic-figure-skater-oksana-baiul-lists-her-1-2-million-louisiana-home-2e85d8be?mod=mw_rss_topstories,Business,Neutral,[2025-10-13] Former Olympic gold medalist Oksana Baiul is selling her Louisiana mansion and relocating to Las Vegas due to financial difficulties. She stated she has been unable to make a living in Shreveport.,1.26,True
U.S. stock futures rebound as Trump dismisses latest China tariff tensions: ‘It will all be fine’,https://www.marketwatch.com/story/u-s-stock-futures-surge-as-trump-dismisses-latest-china-tariff-tensions-it-will-all-be-fine-60ee8581?mod=mw_rss_topstories,Business,Neutral,[2025-10-13] U.S. stock-index futures rebounded Sunday after a market downturn triggered by President Trump's tariff threats against China. The market reaction suggests investor concern over potential trade tensions.,1.24,True
‘We will have a crash’: Why Andrew Ross Sorkin thinks this market bubble will eventually pop,https://www.marketwatch.com/story/we-will-have-a-crash-why-andrew-ross-sorkin-thinks-this-market-bubble-will-eventually-pop-99ed039b?mod=mw_rss_topstories,Business,Negative,"[2025-10-13] Sorkin expressed concern about current market prices, suggesting they may be unsustainable. He posited the possibility of either a boom driven by AI stocks or a broader overvaluation.",1.23,True
"If New York or California enter a recession, the entire U.S. economy would be next. So how are they doing?",https://www.marketwatch.com/story/if-new-york-or-california-enter-a-recession-the-entire-u-s-economy-would-be-next-so-how-are-they-doing-19016cc9?mod=mw_rss_topstories,Business,Neutral,"[2025-10-12] Economists are observing the economies of two large states, suggesting they could signal broader economic trends. The situation is being compared to the historical use of canaries to detect dangerous gases.",1.24,True
Economic Overview,,Overview,N/A,"The current economic situation appears fragile and uncertain, showing signs of a potential slowdown. While stock markets have experienced volatility due to trade tensions and concerns about AI-driven valuations, the broader picture suggests unsustainable price levels and potential for disappointment if expectations aren't met. Reports of financial difficulties among individuals, including a former Olympic medalist, coupled with observations about state economies acting as potential indicators, suggest widespread economic strain. Unemployment trends are not directly indicated, but the overall picture points towards a period of instability rather than growth.",0.0,True
