Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
How Lego MRI scanner sets are reducing anxiety in children undergoing medical treatment,https://www.cnbc.com/2025/10/13/lego-mri-scanner-anxiety-sedation-children.html,Health,Negative,"[2025-10-13] A 14-year-old boy, Sam Lane, was recently diagnosed with a rare brain and spine cancer after his mother had overcome breast cancer. The diagnosis followed a period of illness and testing.",1.56,True
JPMorgan Chase will invest $10 billion into industries key to national security,https://www.cnbc.com/2025/10/13/jpmorgan-chase-to-invest-10-billion-into-key-industries-.html,Business,Neutral,[2025-10-13] JPMorgan Chase announced a ten-year plan to invest in and financially support companies deemed vital to U.S. interests. This initiative marks a significant commitment to strategic investments.,1.23,True
Airlines tell passengers to prepare for delays as government shutdown continues,https://www.cnbc.com/2025/10/10/government-shutdown-airlines-passengers-delays.html,Business,Negative,[2025-10-13] Airlines are warning travelers to expect flight disruptions over the upcoming holiday weekend due to the ongoing government shutdown. Air traffic controller shortages have already caused delays at several U.S. airports.,1.28,True
Trump reaches deal with AstraZeneca to lower U.S. drug prices,https://www.cnbc.com/2025/10/10/trump-astrazeneca-drug-pricing-deal.html,Business,Positive,[2025-10-13] The Trump administration and AstraZeneca have agreed to lower drug prices in the United States. This deal aims to reduce pharmaceutical costs for American consumers.,1.11,True
Spirit Airlines wins approval for $475 million lifeline in bankruptcy court,https://www.cnbc.com/2025/10/10/spirit-airlines-bankruptcy-court-approves-lifeline-financing.html,Business,Neutral,"[2025-10-13] Spirit Airlines secured court approval for $475 million in financing and $150 million from a lessor, aiding its efforts to stabilize after a second bankruptcy filing. The approval includes rejecting 27 airplane leases and will provide an immediate $200 million to the airline.",1.59,True
NBA Commissioner Adam Silver says ‘we’d love to bring a WNBA game’ to China,https://www.cnbc.com/2025/10/10/nba-commissioner-adam-silver-wnba-games-china.html,Sports,Neutral,[2025-10-13] NBA Commissioner Adam Silver suggested the WNBA could potentially hold games in China. This follows previous NBA ventures into the Chinese market.,1.11,True
More than half of entrepreneurs are considering moving to a new country,https://www.cnbc.com/2025/10/10/entrepreneurs-moving-motivations-hsbc-survey.html,Business,Neutral,"[2025-10-13] This article is an announcement for a new newsletter, Inside Alts, focused on investment for high-net-worth individuals. It originally appeared in CNBC's Inside Wealth newsletter.",1.24,True
Morgan Stanley drops restrictions on which wealth clients can own crypto funds,https://www.cnbc.com/2025/10/10/morgan-stanley-drops-crypto-fund-restrictions-for-wealth-clients.html,Business,Positive,"[2025-10-13] Morgan Stanley is expanding access to cryptocurrency investments for all clients, including retirement accounts. This move signifies growing acceptance of digital assets within the financial industry.",1.13,True
"How the world’s 240,000 crypto millionaires are spending their fortunes",https://www.cnbc.com/2025/10/10/how-crypto-millionaires-spend-their-fortunes.html,Business,Neutral,"[2025-10-13] This article is an announcement for a new newsletter, ""Inside Alts,"" focused on investment strategies for high-net-worth individuals. It originally appeared on CNBC and invites readers to subscribe for future editions.",1.33,True
"NBA looks to China for growth, renewing a foothold in its second-largest market",https://www.cnbc.com/2025/10/10/nba-macao-games-kickstart-renewed-growth-in-china.html,Sports,Neutral,[2025-10-13] The National Basketball Association is returning to China for preseason games in Macao. This event marks the first of two games and has broader implications beyond the competition itself.,1.18,True
