Headline,Link,Summary,Date,Classified
‘She may have a spending problem’: Would it be wrong to secretly give our son money — without telling his wife?,https://www.marketwatch.com/story/she-may-have-a-spending-problem-would-it-be-wrong-to-secretly-give-our-son-money-without-telling-his-wife-421d2097?mod=mw_rss_topstories,"“Our son and his wife, who are in their 30s with a child in preschool, are having marital problems.”",2025-10-13,True
"Bank of America now sees $65 silver, as price spike reduces London market to a ‘state of seizure.’",https://www.marketwatch.com/story/bank-of-america-now-sees-65-silver-as-price-spike-reduces-london-market-to-a-state-of-seizure-4338f28d?mod=mw_rss_topstories,A shortage of physical inventories threatens to disrupt the world’s most important silver trading hub – the LBMA.,2025-10-13,True
"A high bar for earnings means the market reaction may be ‘varied and violent,’ says Evercore. Here’s what to do.",https://www.marketwatch.com/story/a-high-bar-for-earnings-means-the-market-reaction-may-be-varied-and-violent-says-evercore-heres-what-to-do-ffd1d6a0?mod=mw_rss_topstories,"Valuations show stocks are priced for perfection, says this strategist.",2025-10-13,True
‘I watch antenna TV’: I’m 66. Will I lose my disability benefits if Social Security goes belly up?,https://www.marketwatch.com/story/i-watch-antenna-tv-im-66-will-i-lose-my-disability-benefits-if-social-security-goes-belly-up-ffe6afd4?mod=mw_rss_topstories,“I read that the Social Security Disability Insurance Trust Fund is good until 2099.”,2025-10-13,True
"‘I’m stumped’: I put $3,000 on my credit card during a vacation and my credit score plunged. Why is it so volatile?",https://www.marketwatch.com/story/im-stumped-i-put-3-000-on-my-credit-card-for-a-vacation-and-my-credit-score-plummeted-why-is-it-so-volatile-2fb56b1b?mod=mw_rss_topstories,“Doesn’t a 30-year history of good credit count for anything?”,2025-10-13,True
Real estate tycoon Barbara Corcoran sells her palatial $13.5 million New York penthouse in one day,https://www.marketwatch.com/story/real-estate-tycoon-barbara-corcoran-sells-her-palatial-13-5-million-new-york-penthouse-in-one-day-1c540211?mod=mw_rss_topstories,“Shark Tank” star Barbara Corcoran has sold her iconic New York City apartment—for $1.5 million over her original asking price.,2025-10-13,True
‘I have to go where the ice exists’: Olympic figure skater Oksana Baiul lists her $1.2 million Louisiana home,https://www.marketwatch.com/story/i-have-to-go-where-the-ice-exists-olympic-figure-skater-oksana-baiul-lists-her-1-2-million-louisiana-home-2e85d8be?mod=mw_rss_topstories,Olympic gold medalist Oksana Baiul has put her Louisiana mansion on the market and is moving  back to Las Vegas because she “can’t make a living” in Shreveport.,2025-10-13,True
U.S. stock futures rebound as Trump dismisses latest China tariff tensions: ‘It will all be fine’,https://www.marketwatch.com/story/u-s-stock-futures-surge-as-trump-dismisses-latest-china-tariff-tensions-it-will-all-be-fine-60ee8581?mod=mw_rss_topstories,"U.S. stock-index futures bounced back strongly Sunday, following Friday’s market plunge after President Donald Trump threatened China with additional 100% tariffs.",2025-10-13,True
‘We will have a crash’: Why Andrew Ross Sorkin thinks this market bubble will eventually pop,https://www.marketwatch.com/story/we-will-have-a-crash-why-andrew-ross-sorkin-thinks-this-market-bubble-will-eventually-pop-99ed039b?mod=mw_rss_topstories,"“I’m anxious that we are at prices that may not feel sustainable,” Sorkin told “60 Minutes,” noting that we’re either in a “remarkable boom” fueled by artificial-intelligence stocks, or else “everything’s overpriced.”",2025-10-13,True
"If New York or California enter a recession, the entire U.S. economy would be next. So how are they doing?",https://www.marketwatch.com/story/if-new-york-or-california-enter-a-recession-the-entire-u-s-economy-would-be-next-so-how-are-they-doing-19016cc9?mod=mw_rss_topstories,"As two of the country’s biggest states by GDP, their economies ‘may be canaries in the coal mine,’ one economist notes",2025-10-12,True
