Headline,Link,Summary,Date,Classified
Kinas varning: ”Vill inte slåss – men inte rädda”,https://www.expressen.se/ekonomi//nyheter/varlden/kinas-varning-till-usa-efter-hot-om-skyhoga-tullar/,Svaret till Trump – efter hot om tullar,2025-10-13,True
”Modehandeln anar ett ljus i slutet av tunneln”,/ekonomi/kladforsaljningen-okade-i-september/,Klädförsäljningen ökade i september,2025-10-13,True
Guide: Så väljer du rätt Apple Watch-modell,/ekonomi/tech/guide-sa-valjer-du-ratt-apple-watch-modell/,"Vilken passar dig – Ultra 3, Series 11 eller SE3?",2025-10-13,True
Kom från ingenstans– värda två miljarder,https://www.expressen.se/ekonomi//nyheter/varlden/de-kom-fran-ingenstans-nu-ar-energidrycken-vard-2-miljarder/,Succén i Draknästet växte: ”Världsdominans”,2025-10-13,True
Lager 157-grundaren: ”Pengar aldrig målet”,/ekonomi/lager-157-grundaren-pengar-aldrig-varit-malet/,Driver miljardbolag • ”Upplever mig som fattig i anden”,2025-10-13,True
Få 10 000 extra medrätt pensionsstrategi,/ekonomi/pension/maxa-eller-sakra-sa-far-du-mest-ut-av-pensionen/,Stor tabell: Maxa eller säkra – så får du mest ut mest av pensionen,2025-10-13,True
Ernstberger frias för lyxgåvan till hustrun,/ekonomi/pension/-ernstberger-frias-for-lyxgavan-till-hustrun/,Allra-profilen gav halva Lidingövillan till hustrun i bröllopsgåva,2025-10-13,True
Musk överens medTwittercheferna,/ekonomi/musk-forlikar-med-tidigare-twitterchefer/,128 miljoner dollar i obetalt avgångsvederlag,2025-10-13,True
Halvledarjätteökar försäljning,/ekonomi/halvledarjatten-tsmc-okar-forsaljningen/,Vinnare på AI-vågen,2025-10-13,True
Ryska börsen dyker efter uttalandet,/ekonomi/aktier-och-bors/efter-uttalandet-ryska-borsen-dyker-samsta-pa-tre-ar/,Sämsta dagen på över tre år,2025-10-13,True
Ica-banken nedringdav förrvirrade kunder,/ekonomi/privatekonomi/ica-banken-skickar-ut-felaktiga-fakturor/,Felaktiga utskick • ”Bortse från påminnelsen”,2025-10-13,True
Nu kommer GooglesAI-sökning till Sverige,/ekonomi/tech/nu-kommer-googles-ai-sokning-till-sverige/,Gör det möjligt att föra resonemang och ställa följdfrågor,2025-10-13,True
Verisure noteras på Stockholmsbörsen,/ekonomi/aktier-och-bors/verisure-lyfter-i-borsdebuten/,Så mycket noterades bolaget för,2025-10-13,True
Smällen mot Icaunder sommaren,/ekonomi/lagre-vinst-for-ica/,Lägre vinst,2025-10-13,True
ABB i miljardaffär –säljer till Softbank,/ekonomi/abb-i-mangmiljardaffar/,Säljer till Japan,2025-10-13,True
Kan vi utnyttja rotavdragmed hjälp av våra barn?,https://www.expressen.se/ekonomi/https://amelia.expressen.se/premium/kan-vi-ge-barnen-en-del-av-huset-och-fa-rot/,Använda vuxna barnens skatt? • Expertens svar – och varning,2025-10-13,True
Swish-problem,https://www.expressen.se/ekonomi/https://www.expressen.se/nyheter/expressen-direkt/?post=eed5385a-2bc7-4d4c-9bbf-dcb8bb656a6b,Påverkar betalningar,2025-10-13,True
Bilfabriker rullar i gångigen efter cyberattack,/ekonomi/efter-attacken-bilfabriker-rullar-igang/,Legat nere i en månad,2025-10-13,True
Varningen: Risk förakut elbrist i vinter,/ekonomi/privatekonomi/ingen-elreserv-i-vinter-stromavbrott-hotar/,Ingen reserv – avbruten upphandlingen,2025-10-13,True
Prislyft på bostadsrätter– men villapriset sjunker,/ekonomi/bostad/prislyft-pa-bostadsratter-i-september/,”Försäljningsvolymerna är relativt höga”,2025-10-13,True
