Headline,Link,Summary,Scraped_Date,Classified
SKR-rapport: Så bör SKR jobba för en likvärdig välfärd,https://www.dagenssamhalle.se/offentlig-ekonomi/kommunal-ekonomi/skr-rapport-sa-bor-skr-jobba-for-en-likvardig-valfard/,Programberedningen föreslår en mängd åtgärder för att lösa välfärdens utmaningar,2025-10-13,True
Halv miljard till en mer bilfri stad – så ska Stockholm förändras,https://www.dagenssamhalle.se/offentlig-ekonomi/kommunal-ekonomi/halv-miljard-till-en-mer-bilfri-stad-sa-ska-stockholm-forandras/,Rödgröna styret har budgeten för 2026 klar,2025-10-13,True
Kommunsektorns låneskuld nu nära en biljon – ”Ett friskhetstecken”,https://www.dagenssamhalle.se/offentlig-ekonomi/kommunal-ekonomi/kommunsektorns-laneskuld-nu-nara-en-biljon-ett-friskhetstecken/,”Viktigt att man fortsätter göra nödvändiga investeringar även i lågkonjunktur”,2025-10-13,True
Regeringsbeslut: Mer fokus på småföretag i upphandlingar,https://www.dagenssamhalle.se/offentlig-ekonomi/upphandling/regeringsbeslut-mer-fokus-pa-smaforetag-i-upphandlingar/,✓ Detta vill regeringen att upphandlingen fokuserar på ✓ Nya siffran över upphandlingens värde – aldrig varit större,2025-10-13,True
Slår tillbaka mot kravet att slopa LOV: ”En grund analys”,https://www.dagenssamhalle.se/offentlig-ekonomi/upphandling/slar-tillbaka-mot-kravet-att-slopa-lov-en-grund-analys/,Vårdföretagarna reagerar på Produktivitetskommissionens slutsatser,2025-10-13,True
Ännu en skattesänkning i Haninge: ”Besparingar var lätta att hämta hem”,https://www.dagenssamhalle.se/offentlig-ekonomi/kommunal-ekonomi/annu-en-skattesankning-i-haninge-besparingar-var-latta-att-hamta-hem/,"Haninge sänker skatten med 50 öre till 18,95 per hundralapp",2025-10-13,True
Nya krav i bidragssystemet het potatis för landets socialchefer,https://www.dagenssamhalle.se/samhalle-och-valfard/socialtjanst/nya-krav-i-bidragssystemet-het-potatis-for-landets-socialchefer/,”Bidragsreformen bygger mer på politiska antaganden om att bidrag passiviserar”,2025-10-13,True
S: Höj barnbidraget och slopa karensdagen,https://www.dagenssamhalle.se/samhalle-och-valfard/socialtjanst/s-hoj-barnbidraget-och-slopa-karensdagen/,”Vi vill också sänka skatten för vanliga människor”,2025-10-13,True
Glesbygdskommuner i nytt samarbete för att rädda skola och omsorg,https://www.dagenssamhalle.se/offentlig-ekonomi/kommunal-ekonomi/nytt-samarbete-ska-radda-skola-och-omsorg-i-glesbygd/,”Förhoppningsvis kan vi inspirera andra kommuner med demografiska utmaningar”,2025-10-13,True
Lista: Så mycket kostar kommunernas Meta-annonser,https://www.dagenssamhalle.se/offentlig-ekonomi/kommunal-ekonomi/lista-kommunerna-som-lagger-mest-pa-meta-annonser/,✓ Därför vill de som spenderade mest dra ner,2025-10-13,True
Expertens tips: Så avslöjar du fusk i städupphandlingar,https://www.dagenssamhalle.se/offentlig-ekonomi/upphandling/expertens-tips-sa-avslojar-du-fusk-i-stadupphandlingar/,Metoderna som säkrar skattebetalarnas pengar,2025-10-13,True
Nya kommunchefen har landets svåraste uppdrag: ”Det kan också gå bra!”,https://www.dagenssamhalle.se/offentlig-ekonomi/kommunal-ekonomi/nya-kommunchefen-har-landets-svaraste-uppdrag-det-kan-ocksa-ga-bra/,Så ska kriskommunens nya kapten vända skutan: ”Jag har rätt proveniens”,2025-10-13,True
Därför kan AI bli en oväntat dyr affär,https://www.dagenssamhalle.se/samhalle-och-valfard/digitalisering/darfor-kan-ai-bli-en-ovantat-dyr-affar/,Experten: Viktigt för kommunerna att tänka på energiförbrukningen,2025-10-13,True
Kommunen i väst åter topprankad för sitt företagsklimat,https://www.dagenssamhalle.se/offentlig-ekonomi/naringsliv/kommunen-i-vast-ater-topprankad-for-sitt-foretagsklimat/,"”Ett bra företagsklimat är en färskvara”, säger kommunalrådet",2025-10-13,True
